"","member","state","trump_score","tspred","ts.vs.replace","tsvr.rank"
"1","Cory A. Booker","NJ",14,28,-14,45
"2","Jeff Merkley","OR",12,26,-13,44
"3","Kirsten E. Gillibrand","NY",9,21,-12,43
"4","Tammy Baldwin","WI",21,33,-12,42
"5","Ron Wyden","OR",18,26,-8,41
"6","Elizabeth Warren","MA",11,18,-7,40
"7","Tom Udall","NM",23,30,-6,39
"8","Richard Blumenthal","CT",20,26,-6,38
"9","Sherrod Brown","OH",30,36,-6,37
"10","Kamala D. Harris","CA",16,21,-5,36
"11","Martin Heinrich","NM",25,29,-4,35
"12","Robert P. Casey Jr.","PA",29,32,-3,34
"13","Robert Menendez","NJ",24,27,-3,33
"14","Edward J. Markey","MA",14,17,-3,32
"15","Patty Murray","WA",23,25,-2,31
"16","Debbie Stabenow","MI",30,32,-2,30
"17","Catherine Cortez Masto","NV",34,35,-2,29
"18","Gary C. Peters","MI",31,32,-1,28
"19","Richard J. Durbin","IL",22,23,-1,27
"20","Bernard Sanders","VT",14,15,-1,26
"21","Heidi Heitkamp","ND",50,51,-1,25
"22","Amy Klobuchar","MN",30,31,-1,24
"23","Sheldon Whitehouse","RI",23,23,0,23
"24","Jack Reed","RI",23,23,0,23
"25","Joe Manchin III","WV",54,53,0,22
"26","Jon Tester","MT",39,39,0,21
"27","Chris Van Hollen","MD",22,21,0,20
"28","Margaret Wood Hassan","NH",32,32,0,19
"29","Jeanne Shaheen","NH",32,32,0,19
"30","Christopher Murphy","CT",27,26,2,18
"31","Tammy Duckworth","IL",25,23,2,17
"32","Maria Cantwell","WA",27,25,2,16
"33","Mazie K. Hirono","HI",25,22,3,15
"34","Charles E. Schumer","NY",23,20,3,14
"35","Christopher A. Coons","DE",31,28,3,13
"36","Claire McCaskill","MO",44,40,3,12
"37","Thomas R. Carper","DE",32,28,4,11
"38","Michael F. Bennet","CO",30,26,4,10
"39","Brian Schatz","HI",27,22,5,9
"40","Joe Donnelly","IN",47,42,5,8
"41","Bill Nelson","FL",38,32,6,7
"42","Tim Kaine","VA",34,28,6,6
"43","Benjamin L. Cardin","MD",27,21,6,5
"44","Dianne Feinstein","CA",31,19,11,4
"45","Patrick J. Leahy","VT",27,12,15,3
"46","Mark R. Warner","VA",43,27,16,2
"47","Angus S. King Jr.","ME",45,27,18,1
